Date;Open;High;Low;Close;Adj Close;Volume
01/02/2001;17,1875;17,1875;9,9375;10,1875;10,1875;167374100
01/03/2001;9,875;14;9,5625;10,23;10,23;167635900
01/04/2001;10,33;18,16;8,1;15,78;15,78;189780400
01/05/2001;15,9;17,6;13,1;16,690001;16,690001;144686700
01/06/2001;17,219999;17,92;11,2;14,15;14,15;136695900
01/07/2001;14,1;17,42;11,07;12,49;12,49;172078700
01/08/2001;12,73;12,86;8,55;8,94;8,94;100687300
01/09/2001;8,95;9,19;5,67;5,97;5,97;126843400
01/10/2001;5,91;9,99;5,51;6,98;6,98;169882800
01/11/2001;7,08;12,4;6,6;11,32;11,32;310965300
01/12/2001;11,02;12,8;9,51;10,82;10,82;212455500
01/01/2002;10,93;15,77;9,03;14,19;14,19;322739200
01/02/2002;14,07;14,75;11,06;14,1;14,1;163988900
01/03/2002;14,13;16,959999;13,55;14,3;14,3;164817800
01/04/2002;14,28;17,049999;12,52;16,690001;16,690001;158958600
01/05/2002;16,549999;20,4;15,75;18,23;18,23;154840500
01/06/2002;18,309999;19,16;14,68;16,25;16,25;142617800
01/07/2002;16,17;17,16;12,26;14,45;14,45;176592200
01/08/2002;14,31;15,99;12,78;14,94;14,94;115341600
01/09/2002;14,71;17,93;14,24;15,93;15,93;146027000
01/10/2002;16,23;20,26;16,01;19,360001;19,360001;203538600
01/11/2002;19,219999;24,5;18,200001;23,35;23,35;206336300
01/12/2002;24,15;25;18,43;18,889999;18,889999;155610600
01/01/2003;19,190001;23,280001;18,549999;21,85;21,85;169197200
01/02/2003;21,940001;22,5;19,610001;22,01;22,01;115941900
01/03/2003;22,15;28,040001;21,360001;26,030001;26,030001;164093600
01/04/2003;25,549999;29,190001;24,129999;28,690001;28,690001;219644300
01/05/2003;28,68;36,09;28,15;35,889999;35,889999;190833800
01/06/2003;36,5;37,240002;32,830002;36,32;36,32;171470800
01/07/2003;36,330002;43,099998;34;41,639999;41,639999;229239500
01/08/2003;41,41;46,950001;38,279999;46,32;46,32;150718900
01/09/2003;46,52;51,299999;44,73;48,43;48,43;202836400
01/10/2003;48,369999;61,150002;47,509998;54,43;54,43;288225300
01/11/2003;54,799999;57,490002;47,669998;53,970001;53,970001;181979000
01/12/2003;54,400002;54,939999;47;52,619999;52,619999;193675200
01/01/2004;52,759998;57,82;48,599998;50,400002;50,400002;217934700
01/02/2004;50,650002;50,650002;42,23;43,009998;43,009998;185747700
01/03/2004;43,02;45,060001;39,150002;43,279999;43,279999;154770500
01/04/2004;43,450001;49,099998;43,299999;43,599998;43,599998;162636600
01/05/2004;43,48;48,68;40,549999;48,5;48,5;150196500
01/06/2004;47,869999;54,700001;47,700001;54,400002;54,400002;161251200
01/07/2004;53,799999;54,040001;37,380001;38,919998;38,919998;202437000
01/08/2004;38,450001;40,830002;34,849998;38,139999;38,139999;180022400
01/09/2004;38,23;44,279999;37,360001;40,860001;40,860001;176176900
01/10/2004;41,290001;42,700001;33;34,130001;34,130001;208568400
01/11/2004;34,220001;41,5;34,150002;39,68;39,68;168474900
01/12/2004;40;45,68;37,990002;44,290001;44,290001;176014800
01/01/2005;44,950001;45,439999;40,259998;43,220001;43,220001;194935200
01/02/2005;43;43,540001;33,200001;35,18;35,18;218655100
01/03/2005;35,060001;36,43;32,82;34,27;34,27;119566600
01/04/2005;34,630001;35,34;30,6;32,360001;32,360001;162491300
01/05/2005;32,299999;36,040001;32,099998;35,509998;35,509998;116947800
01/06/2005;35,57;36,990002;32,93;33,09;33,09;106233600
01/07/2005;33,240002;45,810001;32,790001;45,150002;45,150002;182601100
01/08/2005;44,880001;46,970001;41,91;42,700001;42,700001;114751100
01/09/2005;42,52;45,84;40,5;45,299999;45,299999;104700400
01/10/2005;45,330002;47;38,720001;39,860001;39,860001;146980100
01/11/2005;39,970001;49,43;39,650002;48,459999;48,459999;216455300
01/12/2005;48,880001;50;47,139999;47,150002;47,150002;121167800
01/01/2006;47,470001;48,580002;43,099998;44,82;44,82;123410300
01/02/2006;43,919998;44,689999;37,049999;37,439999;37,439999;165544700
01/03/2006;37,450001;37,830002;35,139999;36,529999;36,529999;122178100
